surname	results	source
Абаза	528	Wikipedia Russia
Абаимов	6	Wikipedia Russia
Абдушелишвили	16	Wikipedia Russia
Аблаев	42	Wikipedia Russia
Аболиц	1	Wikipedia Russia
Аболтиньш	8	Wikipedia Russia
Абоносимов	5	Wikipedia Russia
Абульханов	3	Wikipedia Russia
Авдейко	2	Wikipedia Russia
Аверкиев	127	Wikipedia Russia
Аветов	4	Wikipedia Russia
Автократова	6	Wikipedia Russia
Агалаков	43	Wikipedia Russia
Агалакова	27	Wikipedia Russia
Агапитова	13	Wikipedia Russia
Агатова	16	Wikipedia Russia
Агафонкин	6	Wikipedia Russia
Агентов	3034	Wikipedia Russia
Адами	85	Wikipedia Russia
Адмакин	1	Wikipedia Russia
Азиев	15	Wikipedia Russia
Академия Наук СССР. Институт Географии	16	Wikipedia Russia
Акбари	44	Wikipedia Russia
Акивис	5	Wikipedia Russia
Акилина	56	Wikipedia Russia
Акимцев	7	Wikipedia Russia
Акинин	26	Wikipedia Russia
Акифьева	32	Wikipedia Russia
Аккуратов	43	Wikipedia Russia
Аклаев	2	Wikipedia Russia
Акулин	18	Wikipedia Russia
Акульшина	12	Wikipedia Russia
Аладин	32	Wikipedia Russia
Аладко	3	Wikipedia Russia
Алатало	87	Wikipedia Russia
Алварез	21	Wikipedia Russia
Алеева	55	Wikipedia Russia
Алейнер	2	Wikipedia Russia
Алекин	16	Wikipedia Russia
Аленин	18	Wikipedia Russia
Аленников	2	Wikipedia Russia
Алешинская	105	Wikipedia Russia
Алимухамедов	1	Wikipedia Russia
Алпатьев	7	Wikipedia Russia
Алто	113	Wikipedia Russia
Алтунин	154	Wikipedia Russia
Алтунина	27	Wikipedia Russia
Алфимов	56	Wikipedia Russia
Алхименко	2	Wikipedia Russia
Альгирдас	281	Wikipedia Russia
Алькор	223	Wikipedia Russia
Альмухамедов	3	Wikipedia Russia
Альтах	71	Wikipedia Russia
Алюшинская	1	Wikipedia Russia
Амбросова	2	Wikipedia Russia
Амгин	2	Wikipedia Russia
Амелина	153	Wikipedia Russia
Амербаев	6	Wikipedia Russia
Амес	42	Wikipedia Russia
Аметова	9	Wikipedia Russia
Амитров	4	Wikipedia Russia
Аммосова	84	Wikipedia Russia
Амузинский	2	Wikipedia Russia
Амундсен	265	Wikipedia Russia
Амшинский	1	Wikipedia Russia
Ананенков	7	Wikipedia Russia
Ананин	6	Wikipedia Russia
Анастасенко	1	Wikipedia Russia
Анвельт	24	Wikipedia Russia
Андиева	19	Wikipedia Russia
Андреевская	924	Wikipedia Russia
Андреичев	1	Wikipedia Russia
Андреичева	2	Wikipedia Russia
